# Tc Rp/Rs a/Rs F0 sigma
6.154836716352425630e-03 1.209702119705798051e-02 3.573279896327760774e+00 9.999947586668478383e-01 4.857001873360387189e-05
-1.004405981177219215e-03 1.227107591357147302e-02 3.401991223393499464e+00 1.000003353288326791e+00 4.351636316538939789e-05
3.738343825832740608e-03 1.201499998934123931e-02 3.669135031285348347e+00 9.999896008761424149e-01 4.573858750897493607e-05
6.234383977877476501e-03 1.110643995492269741e-02 3.561153166126105774e+00 9.999981004923820249e-01 4.717035388740201200e-05
3.007218785884821499e-03 1.305651684678607247e-02 3.644339424769137636e+00 1.000010195230707888e+00 4.071126965594196829e-05
8.332638002214780293e-03 1.171846747336709356e-02 3.474877311652867284e+00 1.000000349024952051e+00 4.218672302217479068e-05
2.923499272296160856e-03 1.130640614928859339e-02 3.718860349722917569e+00 9.999979391491712333e-01 4.836006771414798014e-05
2.946865182120124438e-03 1.085652585369426687e-02 3.634431066722677350e+00 9.999941736722612884e-01 3.939596382134221336e-05
6.129153588876765091e-03 1.224288035125462026e-02 4.007070296254831021e+00 1.000002324410949273e+00 4.674869851268015884e-05
1.461053402462379747e-03 1.233771720404977512e-02 4.015906552812014141e+00 1.000002403102142612e+00 4.548537738579711427e-05
6.933659310854212166e-03 1.169394303637018295e-02 3.475446415739221528e+00 1.000008266208632035e+00 3.133569774567150683e-05
3.971248925296856636e-03 1.180857151133710148e-02 3.492869894942254305e+00 1.000010056346521958e+00 4.095942107507073813e-05
3.683497196811671981e-03 1.241566790038222193e-02 3.890395189445214008e+00 9.999994724410825597e-01 5.173462484141888400e-05
1.019670541028010885e-03 1.168122032741860002e-02 3.176110824436843671e+00 1.000004340881796017e+00 3.875982233672903196e-05
3.947767638061157325e-03 1.237172777152620307e-02 3.549306809945029784e+00 1.000011358571192277e+00 3.568799763573909418e-05
6.884537954575921381e-03 1.191146503830913667e-02 3.491171760727582729e+00 9.999925632451771573e-01 4.631433977438952272e-05
5.466467816492459608e-03 1.167752668406481578e-02 3.480918187212100001e+00 1.000001677103947273e+00 4.896395567577896982e-05
5.731307535269535014e-03 1.267836729801468179e-02 3.870985505136572247e+00 1.000003203798254692e+00 4.643024889303829433e-05
3.863922852998781521e-03 1.221542162567982454e-02 3.529701528899436447e+00 1.000003504304840529e+00 4.597575544858053571e-05
6.428229137402811932e-03 1.269358585232217319e-02 3.558036344355352654e+00 1.000017510749568572e+00 3.619276668261444383e-05
6.499665491817477325e-03 1.271284095037364739e-02 3.541635102226578624e+00 1.000016503344305363e+00 4.375100391025611317e-05
3.971536676496294216e-03 1.200114749821927160e-02 3.624689437985543883e+00 1.000012745471090980e+00 4.296518335667187254e-05
2.051413009352999473e-03 1.238913798588923282e-02 3.943055635487008992e+00 1.000008119353941627e+00 3.275805665574168981e-05
4.984260905710587164e-03 1.154570106987052452e-02 3.439361134013835919e+00 1.000001256924833104e+00 3.153235750265160980e-05
6.232530634825803051e-03 1.175163591061031965e-02 3.971430812299093560e+00 9.999878040397010004e-01 4.131298250184686164e-05
6.493393664586878666e-03 1.229032644670293405e-02 3.491279687441333657e+00 9.999992292103331293e-01 3.220707542257748369e-05
1.779256795372413658e-03 1.189476552675717419e-02 3.979986819778611906e+00 9.999970041901841133e-01 4.819717914451612903e-05
5.365522079440687708e-03 1.173498440758192173e-02 3.321169624816189270e+00 1.000003067170173843e+00 4.400145630666064348e-05
3.191548590087536774e-03 1.295550815147296017e-02 3.666425326803443685e+00 1.000007350333859346e+00 4.473774779141678987e-05
1.666390717480870087e-03 1.216131182625350068e-02 3.511986879474198631e+00 9.999992667977508631e-01 3.901380110775659588e-05
5.870824855373199536e-03 1.155363880278210270e-02 3.998955376041016585e+00 9.999964069141911160e-01 3.542636102390720354e-05
5.055196778465387286e-04 1.277575808511233549e-02 3.474038464238962565e+00 1.000009029811444572e+00 4.236395200459915680e-05
2.907317578012040549e-03 1.159250266613145487e-02 4.096734598823193352e+00 9.999924391811328972e-01 3.376346058734827860e-05
1.205782502661581490e-03 1.179709945303502108e-02 3.596569801205667272e+00 9.999986668380763666e-01 4.541812089031495471e-05
